attribute,value,weight,tags
Language,Dwarvish,10,"{""race"": ""Dwarf""}"
Language,Orc,10,"{""race"": ""Half-Orc""}"
Language,Gnomish,10,"{""race"": ""Gnome""}"
Language,Halfling,10,"{""race"": ""Halfling""}"
Language,Draconic,10,"{""race"": ""Dragonborn""}"
Language,Giant,1,
Language,Abyssal,1,
Language,Celestial,1,
Language,Deep Speech,1,
Language,Infernal,1,"{""race"": ""Tiefling""}"
Language,Sylvan,1,
Language,Undercommon,1,
Race,Human,5,"{""stat_bonus_1"": ""ANY 2"", ""speed"": ""30 feet"", ""extra_language"": ""True"", ""size"": ""Medium""}"
Race,Elf,5,"{""stat_bonus_2"": ""DEX"", ""stat_bonus_1"": ""INT"", ""speed"": ""30 feet"", ""extra_language"": ""True"", ""size"": ""Medium"", ""sense"": ""darkvision 60 ft.""}"
Race,Half-Orc,5,"{""stat_bonus_2"": ""STR"", ""stat_bonus_1"": ""CON"", ""speed"": ""30 feet"", ""size"": ""Medium"", ""sense"": ""darkvision 60 ft.""}"
Race,Half-Elf,5,"{""stat_bonus_2"": ""CHA"", ""stat_bonus_1"": ""ANY 2"", ""speed"": ""30 feet"", ""extra_language"": ""True"", ""size"": ""Medium"", ""sense"": ""darkvision 60 ft.""}"
Race,Dragonborn,5,"{""stat_bonus_2"": ""STR"", ""stat_bonus_1"": ""CHA"", ""speed"": ""30 feet"", ""size"": ""Medium""}"
Race,Halfling,5,"{""stat_bonus_2"": ""DEX"", ""stat_bonus_1"": ""CHA"", ""speed"": ""25 feet"", ""size"": ""Small""}"
Race,Goblin,1,"{""stat_bonus_2"": ""DEX"", ""stat_bonus_1"": ""CON"", ""speed"": ""30 feet"", ""size"": ""Small"", ""sense"": ""darkvision 60 ft.""}"
Race,Dwarf,5,"{""stat_bonus_2"": ""CON"", ""stat_bonus_1"": ""WIS"", ""speed"": ""30 feet"", ""size"": ""Medium"", ""sense"": ""darkvision 60 ft.""}"
Race,Tiefling,5,"{""stat_bonus_2"": ""CHA"", ""stat_bonus_1"": ""INT"", ""speed"": ""30 feet"", ""size"": ""Medium"", ""sense"": ""darkvision 60 ft.""}"
Race,Gnome,5,"{""stat_bonus_2"": ""INT"", ""stat_bonus_1"": ""DEX"", ""speed"": ""25 feet"", ""size"": ""Small"", ""sense"": ""darkvision 60 ft.""}"
Name,Carl,1,
Name,Francine,1,
Name,Francis,1,
Name,Giblit,1,
Weapon,Club,1,"{""damage"": ""1d4"", ""damage_type"": ""bludgeoning"", ""weight"": ""light"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Weapon,Dagger,1,"{""damage"": ""1d4"",""damage_type"": ""piercing"", ""weight"": ""light"", ""finesse"": ""True"", ""attack_type"": ""melee"", ""range"": ""20/60 ft."", ""thrown"": ""True"", ""reach"": ""5 ft."", ""archetype"": [""Crafty"", ""Smart""]}"
Weapon,Greatclub,1,"{""damage"": ""1d8"", ""damage_type"": ""bludgeoning"", ""two_handed"": ""True"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Handaxe,1,"{""damage"": ""1d6"", ""damage_type"": ""slashing"", ""weight"": ""light"", ""attack_type"": ""melee"", ""range"": ""20/60 ft."", ""thrown"": ""True"", ""reach"": ""5 ft."", ""archetype"": ""Bulky""}"
Weapon,Javelin,1,"{""damage"": ""1d6"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""range"": ""20/60 ft."", ""thrown"": ""True"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Light Hammer,1,"{""damage"": ""1d4"", ""damage_type"": ""bludgeoning"", ""weight"": ""light"", ""attack_type"": ""melee"", ""range ft."": ""20/60"", ""thrown"": ""True"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Mace,1,"{""damage"": ""1d6"", ""damage_type"": ""bludgeoning"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Weapon,Quarterstaff,1,"{""damage"": ""1d6"", ""damage_type"": ""bludgeoning"", ""versatile"": ""True"", ""versatile_dmg"": ""1d8"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": [""Smart"", ""Faithful""]}"
Weapon,Sickle,1,"{""damage"": ""1d4"", ""damage_type"": ""slashing"", ""weight"": ""light"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Crafty""]}"
Weapon,Spear,1,"{""damage"": ""1d6"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""range"": ""20/60 ft."", ""versatile"": ""True"", ""versatile_dmg"": ""1d8"", ""thrown"": ""True"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Light Crossbow,1,"{""damage"": ""1d8"", ""damage_type"": ""piercing"", ""attack_type"": ""ranged"", ""range"": ""80/320 ft."", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Crafty"", ""Smart"", ""Faithful""]}"
Weapon,Dart,1,"{""damage"": ""1d4"", ""damage_type"": ""piercing"", ""attack_type"": ""ranged"", ""range"": ""20/60 ft."", ""thrown"": ""True"", ""finesse"": ""True"", ""reach"": ""5 ft."", ""archetype"": [""Crafty"", ""Smart""]}"
Weapon,Shortbow,1,"{""damage"": ""1d6"", ""damage_type"": ""piercing"", ""attack_type"": ""ranged"", ""range"": ""80/320 ft."", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Crafty""]}"
Weapon,Sling,1,"{""damage"": ""1d4"", ""damage_type"": ""bludgeoning"", ""attack_type"": ""ranged"", ""range"": ""30/120 ft."", ""archetype"": [""Bulky"", ""Crafty"", ""Smart"", ""Faithful""]}"
Weapon,Battleaxe,1,"{""damage"": ""1d8"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""versatile"": ""True"", ""versatile_dmg"": ""1d8"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Flail,1,"{""damage"": ""1d8"", ""damage_type"": ""bludgeoning"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": ""Bulky""}"
Weapon,Glaive,1,"{""damage"": ""1d10"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""weight"": ""heavy"", ""reach"": ""10 ft."", ""two_handed"": ""True"", ""archetype"": ""Bulky""}"
Weapon,Greataxe,1,"{""damage"": ""1d12"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""weight"": ""heavy"", ""reach"": ""5 ft."", ""two_handed"": ""True"", ""archetype"": ""Bulky""}"
Weapon,Greatsword,1,"{""damage"": ""2d6"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""weight"": ""heavy"", ""reach"": ""5 ft."", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Halberd,1,"{""damage"": ""1d10"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""weight"": ""heavy"", ""reach"": ""10 ft."", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Lance,1,"{""damage"": ""1d12"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""10 ft."", ""special"": ""You have disadvantage when you use a lance to attack a target within 5 feet fo you. Also, a lance requires two hands to wield when you aren't mounted"", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Longsword,1,"{""damage"": ""1d8"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""versatile"": ""True"", ""versatile_dmg"": ""1d10"", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Weapon,Maul,1,"{""damage"": ""2d6"", ""damage_type"": ""bludgeoning"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""weight"": ""heavy"", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Morningstar,1,"{""damage"": ""1d8"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Pike,1,"{""damage"": ""1d10"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""10 ft."", ""weight"": ""heavy"", ""two_handed"": ""True"", ""archetype"": ""Bulky""}"
Weapon,Rapier,1,"{""damage"": ""1d8"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""finesse"": ""True"", ""archetype"": [""Bulky"", ""Crafty""]}"
Weapon,Scimitar,1,"{""damage"": ""1d6"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""finesse"": ""True"", ""weight"": ""light"", ""archetype"": [""Bulky"", ""Crafty""]}"
Weapon,Shortsword,1,"{""damage"": ""1d6"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""finesse"": ""True"", ""weight"": ""light"", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Weapon,Trident,1,"{""damage"": ""1d6"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""thrown"": ""True"", ""range"": ""20/60 ft."", ""versatile"": ""True"", ""versatile_dmg"": ""1d8"", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,War Pick,1,"{""damage"": ""1d8"", ""damage_type"": ""piercing"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""archetype"": ""Bulky""}"
Weapon,Warhammer,1,"{""damage"": ""1d8"", ""damage_type"": ""bludgeoning"", ""attack_type"": ""melee"", ""reach"": ""5 ft."", ""versatile"": ""True"", ""versatile_dmg"": ""1d10"", ""archetype"": [""Bulky"", ""Faithful""]}"
Weapon,Whip,1,"{""damage"": ""1d4"", ""damage_type"": ""slashing"", ""attack_type"": ""melee"", ""reach"": ""10 ft."", ""finesse"": ""True"", ""archetype"": ""Crafty""}"
Weapon,Hand Crossbow,1,"{""damage"": ""1d6"", ""damage_type"": ""piercing"", ""attack_type"": ""ranged"", ""range"": ""25/100 ft."", ""weight"": ""light"", ""archetype"": [""Bulky"", ""Crafty""]}"
Weapon,Heavy Crossbow,1,"{""damage"": ""1d10"", ""damage_type"": ""piercing"", ""attack_type"": ""ranged"", ""range"": ""100/400 ft."", ""weight"": ""heavy"", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Weapon,Longbow,1,"{""damage"": ""1d8"", ""damage_type"": ""piercing"", ""attack_type"": ""ranged"", ""range"": ""150/600 ft."", ""weight"": ""heavy"", ""two_handed"": ""True"", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Armor,Padded armor,1,"{""armor_type"": ""light"", ""AC"": 1, ""stealth_dis"": ""True"", ""archetype"": [""Bulky"", ""Crafty"", ""Smart"", ""Faithful""]}"
Armor,Leather armor,1,"{""armor_type"": ""light"", ""AC"": 1, ""archetype"": [""Bulky"", ""Crafty"", ""Smart"", ""Faithful""]}"
Armor,Studded Leather armor,1,"{""armor_type"": ""light"", ""AC"": 2, ""archetype"": [""Bulky"", ""Crafty"", ""Smart"", ""Faithful""]}"
Armor,Hide armor,1,"{""armor_type"": ""medium"", ""AC"": 2, ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Armor,Chain shirt,1,"{""armor_type"": ""medium"", ""AC"": 3, ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Armor,Scale mail,1,"{""armor_type"": ""medium"", ""AC"": 4, ""stealth_dis"": ""True"", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Armor,Breastplate,1,"{""armor_type"": ""medium"", ""AC"": 4, ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Armor,Half plate,1,"{""armor_type"": ""medium"", ""AC"": 5, ""stealth_dis"": ""True"", ""archetype"": [""Bulky"", ""Crafty"", ""Faithful""]}"
Armor,Ring mail,1,"{""armor_type"": ""heavy"", ""AC"": 4, ""stealth_dis"": ""True"", ""archetype"": [""Bulky"", ""Faithful""]}"
Armor,Chain mail,1,"{""armor_type"": ""heavy"", ""AC"": 6, ""stealth_dis"": ""True"", ""req_str"": 13, ""archetype"": [""Bulky"", ""Faithful""]}"
Armor,Splint armor,1,"{""armor_type"": ""heavy"", ""AC"": 7, ""stealth_dis"": ""True"", ""req_str"": 15, ""archetype"": [""Bulky"", ""Faithful""]}"
Armor,Plate armor,1,"{""armor_type"": ""heavy"", ""AC"": 8, ""stealth_dis"": ""True"", ""req_str"": 15, ""archetype"": [""Bulky"", ""Faithful""]}"
Armor,Shield,1,"{""armor_type"": ""shield"", ""AC"": 2}"
Archetype,Bulky,1,"{""stat"": ""STR"", ""health"": 10}"
Archetype,Crafty,1,"{""stat"": ""DEX"", ""health"": 8}"
Archetype,Faithful,1,"{""stat"": ""WIS"", ""health"": 8}"
Archetype,Smart,1,"{""stat"": ""INT"", ""health"": 6}"
Saving,Str,1,"{""stat"": ""STR"", ""archetype"": [""Bulky"", ""Faithful""]}"
Saving,Dex,1,"{""stat"": ""DEX"", ""archetype"": [""Bulky"",""Crafty""]}"
Saving,Con,1,"{""stat"": ""CON"", ""archetype"": [""Bulky"", ""Faithful""]}"
Saving,Int,1,"{""stat"": ""INT"", ""archetype"": [""Crafty"", ""Smart""]}"
Saving,Wis,1,"{""stat"": ""WIS"", ""archetype"": [""Faithful"", ""Smart""]}"
Saving,Cha,1,"{""stat"": ""CHA"", ""archetype"": [""Crafty"", ""Smart""]}"
Description,"They're wearing a {color} colored cloak",10,"{""color"":[""red"", ""blue"", ""green"", ""black"", ""white"", ""yellow"", ""purple""]}"
Description,"Every time they move, their {color} cloak flutters and twists.",10,"{""color"":[""crimson"", ""orange"", ""bright yellow"", ""emerald green"", ""navy blue"", ""indigo"", ""violet""]}"
Description,"They are clutching a dark, {physical_descriptor} cloak tightly against their body.",10,"{""physical_descriptor"":[""sooty"", ""damp"", ""mysteriously-stained"", ""threadbare""]}"
Description,"Their hand rests on the {weapon} they are prominently carrying at their side.",10,"{""weapon_name_req"":[""Dagger"", ""Light Crossbow"", ""Hand Crossbow"", ""Longsword"", ""Handaxe"", ""Light Hammer"", ""Mace"", ""Rapier"", ""Flail"", ""Scimitar"", ""Shortsword"", ""Whip""]}"
Description,"They are cradling a wooden crate that shakes, rattles, and {animal_sounds} even when they are not moving.",10,"{""animal_sounds"":[""growls"", ""chirps"", ""whimpers"", ""mewls"", ""clicks"", ""hisses""]}"
Description,"They twirl the ends of a magnificient {hair_color} mustache.",10,"{""hair_color"":[""fiery red"", ""onyx black"", ""salt-and-pepper"", ""buttercup-yellow"", ""pale grey"", ""ivory-white""]}"
Description,"The overwhelming smell of {scent} lingers about them in a cloud.",10,"{""scent"":[""sulfur"", ""sewage"", ""hay"", ""decay"", ""mulch"", ""flowers"", ""sweat"", ""damp earth"", ""ozone""]}"
Description,"Their {armor} attracts attention as light reflects off its {shiny_material} surface.",10,"{""shiny_material"":[""gem-encrusted"", ""oiled metal"", ""golden"", ""rune-engraved""], ""armor_name_req"":[""Chain shirt"", ""scale mail"", ""breastplate"", ""half plate"", ""ring mail"", ""chain mail"", ""splint armor"", ""plate armor"", ""shield""]}"
Description,"Something about the way they move catches your eye, and after a moment, you realize that the length of their stride is longer than you'd expect for someone their size.",10,
Description,"As you pass them, they jump slightly, as if they had just noticed you.",10,
Description,"As they pass you, you hear them muttering something under their breath. You can't hear everything, but you catch the words, {words}.",10,"{""words"":[""\""debt\"", \""moneylenders\"", and \""break a leg this time\"""", ""\""damn nobles\"", \""get away with something like this\"", and \""someone outta\"""", ""\""treasure\"", \""rich\"", and \""it'll work this time\""""]}"
Description,"They might have been considered handsome, if it were not for their {adjective} {body_part}.",10,"{""adjective"":[""shockingly large"", ""protruding"", ""crooked"", ""poxy"", ""warty"", ""humorously tiny"", ""exceedingly plain"", ""strangely hairy""], ""body_part"":[""nose"", ""ears"", ""chin"", ""jawbone"", ""neck"", ""shoulders"", ""arms"", ""legs""]}"
Description,"They might have been beautiful, except for their {adjective} {body_part}.",10,"{""adjective"":[""shockingly large"", ""protruding"", ""crooked"", ""poxy"", ""warty"", ""humorously tiny"", ""exceedingly plain"", ""strangely hairy""], ""body_part"":[""nose"", ""ears"", ""chin"", ""jawbone"", ""neck"", ""shoulders"", ""arms"", ""legs""]}"
Description,"They were handsome, except for their {adjective} {body_part}.",10,"{""adjective"":[""shockingly large"", ""protruding"", ""crooked"", ""poxy"", ""warty"", ""humorously tiny"", ""exceedingly plain"", ""strangely hairy""], ""body_part"":[""nose"", ""ears"", ""chin"", ""jawbone"", ""neck"", ""shoulders"", ""arms"", ""legs""]}"
Description,"Their beauty was somewhat spoiled by their {adjective} {body_part}.",10,"{""adjective"":[""shockingly large"", ""protruding"", ""crooked"", ""poxy"", ""warty"", ""humorously tiny"", ""exceedingly plain"", ""strangely hairy""], ""body_part"":[""nose"", ""ears"", ""chin"", ""jawbone"", ""neck"", ""shoulders"", ""arms"", ""legs""]}"
Description,"The {adjective} aura they give off is diminished by the {diminuitive} {clothing} they are wearing.",10,"{""adjective"":[""intimidating"", ""angry"", ""stern"", ""imposing"", ""distinguished"", ""impressive"", ""lofty"", ""cultured""], ""diminuitive"":[""tiny"", ""silly"", ""preposterously large"", ""ridiculous"", ""out of fashion"", ""clashing""], ""clothing"":[""cape"", ""cloak"", ""tunic"", ""belt"", ""shirt"", ""tabard"", ""robe"", ""collar"", ""hat"", ""hood"", ""shoes"", ""leggings"", ""trousers"", ""kilt"", ""skirt""]} "
Description,"They move with a stiff, rolling gait, and you see that their {left_or_right} leg ends in {material}.",10,"{""left_or_right"":[""left"", ""right""], ""material"":[""metal"", ""wood""]}"
Description,"Over their {left_or_right} eye is a {design} eyepatch.",10,"{""left_or_right"":[""left"", ""right""], ""design"":[""black"", ""gaudy"", ""gem-encrusted"", ""metallic"", ""golden""]}"
Description,"On their shoulder they have a small {animal}, which {verbs} you as you approach.",10,"{""animal"":[""monkey"", ""cat"", ""lizard""], ""verbs"":[""glances with boredom at"", ""looks with interest at"", ""ignores"", ""hisses at"", ""moves defensively away from""]}"
